abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
AK,Alaska,N/A,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,1
AL,Alabama,0,N/A,0,2,7,2,1,1,0,18,20,0,0,0,3,1,0,2,9,0,1,1,2,0,2,11,0,1,0,3,0,2,0,0,3,3,0,0,1,1,1,0,14,15,0,1,0,1,0,0,0
AR,Arkansas,0,1,N/A,0,10,3,0,2,0,4,2,0,1,0,3,2,2,0,5,0,1,0,3,2,7,3,0,0,0,0,2,1,1,0,0,0,12,0,0,0,1,0,9,22,0,2,0,1,0,0,0
AZ,Arizona,0,0,0,N/A,107,23,3,0,2,6,1,6,7,3,15,4,6,1,1,1,2,0,11,4,6,0,4,1,3,5,2,5,12,2,13,7,7,4,5,2,0,2,1,18,11,6,1,12,8,0,6
CA,California,7,4,3,63,N/A,65,11,3,1,24,12,27,7,7,57,4,14,5,7,19,6,0,18,4,9,0,6,5,1,0,3,35,12,41,70,5,20,43,20,1,3,4,6,111,22,14,0,40,9,1,3
CO,Colorado,1,1,0,11,53,N/A,2,1,0,9,4,3,6,1,12,2,8,1,0,4,1,0,2,7,2,0,4,2,3,7,0,10,6,4,6,1,4,2,2,1,0,2,5,46,6,6,2,6,1,1,5
CT,Connecticut,0,1,0,0,10,4,N/A,2,1,9,2,0,0,1,6,0,1,1,0,36,1,2,5,2,1,0,0,2,0,0,7,20,0,0,181,5,0,0,9,15,2,0,0,6,0,0,1,0,3,0,0
DC,DC,0,0,0,0,4,2,3,N/A,0,3,1,0,0,0,6,0,0,0,0,1,55,0,1,1,0,1,0,0,0,0,0,3,0,0,13,2,1,0,3,0,0,0,0,1,0,60,0,2,0,0,0
DE,Delaware,0,0,0,0,3,0,0,0,N/A,2,1,0,0,0,1,1,0,0,0,0,10,0,1,0,1,0,0,2,0,1,1,7,0,0,6,0,0,0,20,0,0,0,1,5,0,2,0,1,0,0,0
FL,Florida,1,19,5,8,78,25,49,5,5,N/A,56,1,11,0,72,36,9,15,18,40,29,6,73,13,14,7,1,26,1,2,7,84,1,2,199,56,7,2,55,5,15,1,17,50,4,40,3,5,23,11,1
GA,Georgia,0,15,1,1,22,11,11,0,0,62,N/A,1,1,0,15,3,1,1,9,2,7,1,8,4,2,2,0,12,0,0,0,9,1,0,24,8,2,0,10,2,18,0,31,34,4,11,0,1,0,0,0
HI,Hawaii,2,0,0,2,22,1,0,0,0,1,2,N/A,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,0,0,0,3,0,0,1,7,2,0,0
IA,Iowa,0,0,0,1,0,3,1,1,0,2,0,1,N/A,0,27,2,3,1,0,1,0,0,2,5,6,1,0,0,0,19,1,0,1,0,1,0,1,1,1,0,0,3,0,1,0,1,0,0,3,0,0
ID,Idaho,1,0,0,2,18,3,2,0,0,1,0,0,2,N/A,1,1,0,0,0,0,0,1,1,2,0,1,2,2,0,1,0,0,0,2,1,1,0,7,1,0,0,1,0,1,5,1,0,18,1,0,1
IL,Illinois,1,0,3,7,36,7,9,1,2,20,7,1,18,0,N/A,29,6,3,1,7,6,0,20,16,44,0,0,3,2,1,1,16,0,2,22,12,2,0,8,0,1,1,4,23,0,6,0,5,31,1,2
IN,Indiana,0,1,2,6,7,5,1,0,0,14,0,0,1,0,76,N/A,3,19,1,0,1,0,29,6,4,0,0,1,0,1,0,2,0,0,3,18,0,0,2,1,0,0,4,15,2,1,0,0,5,0,1
KS,Kansas,1,0,1,3,10,9,0,0,0,0,1,1,3,0,5,0,N/A,0,0,0,0,1,0,1,157,0,0,1,0,1,0,1,0,0,5,1,9,0,1,0,0,0,2,20,0,0,0,0,1,0,1
KY,Kentucky,0,2,0,1,4,3,2,0,0,10,4,0,1,1,7,20,0,N/A,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,2,34,1,0,1,0,0,0,12,9,0,9,0,0,1,4,0
LA,Louisiana,0,3,4,0,5,1,0,0,0,7,3,0,0,0,3,0,1,2,N/A,1,0,0,2,1,3,8,0,0,0,1,0,1,0,0,1,0,1,1,0,0,2,0,4,29,0,1,0,0,2,2,0
MA,Massachusetts,0,0,0,0,24,2,39,4,1,13,3,0,1,0,2,1,0,1,1,N/A,4,4,3,1,0,0,1,3,0,1,27,9,1,1,26,1,0,4,7,36,0,0,2,6,0,5,4,0,4,0,1
MD,Maryland,0,2,0,0,7,1,4,177,10,13,2,2,1,0,3,2,0,1,3,4,N/A,0,5,0,1,0,0,4,0,5,0,13,0,0,16,3,1,4,14,0,2,0,1,8,0,114,0,2,1,8,1
ME,Maine,1,0,0,0,2,0,6,0,0,1,0,0,0,0,0,1,0,0,0,6,2,N/A,0,0,1,0,0,0,0,0,13,0,0,0,5,1,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0
MI,Michigan,1,0,0,4,15,6,1,1,0,25,5,0,3,0,31,17,1,0,1,1,4,0,N/A,6,2,0,0,1,1,1,0,5,2,1,9,26,3,4,4,1,0,1,6,11,0,6,0,4,6,0,1
MN,Minnesota,0,1,0,4,11,7,0,1,0,9,2,1,11,0,9,3,1,1,1,2,0,0,4,N/A,2,3,1,1,13,1,0,2,0,0,5,2,1,1,0,0,0,4,2,6,0,1,0,3,14,0,0
MO,Missouri,0,0,3,3,13,5,1,1,0,6,4,0,12,1,37,2,85,1,0,0,2,1,4,3,N/A,2,1,0,1,3,0,3,1,1,6,7,10,0,2,0,2,0,2,14,1,3,0,0,5,0,0
MS,Mississippi,1,7,1,0,2,0,0,0,0,6,2,0,0,0,1,1,1,1,15,0,1,0,1,0,2,N/A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,28,8,0,0,0,1,0,1,0
MT,Montana,0,0,0,4,9,3,0,1,0,0,0,0,1,3,0,2,0,0,0,0,1,0,2,0,0,0,N/A,0,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,2,1,0,0,6,1,0,0
NC,North Carolina,0,4,0,4,15,4,9,0,0,32,10,2,0,0,6,6,1,0,4,7,8,0,10,1,2,0,0,N/A,0,1,1,15,0,1,23,14,1,1,8,1,44,0,9,8,1,40,1,1,1,5,0
ND,North Dakota,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
NE,Nebraska,0,0,0,6,6,7,0,0,0,0,0,0,15,0,2,2,9,0,0,0,2,0,0,3,6,0,1,0,1,N/A,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,1
NH,New Hampshire,0,0,0,0,3,0,6,0,0,4,0,0,0,0,1,2,0,0,0,114,0,16,0,1,0,0,0,0,0,0,N/A,0,0,0,3,1,0,1,2,3,0,0,0,1,0,2,11,1,0,0,0
NJ,New Jersey,0,1,0,5,15,3,24,2,11,19,4,0,3,0,11,4,1,2,2,18,9,0,5,2,3,0,2,2,0,0,1,N/A,1,3,450,5,1,0,122,0,2,0,1,9,0,3,0,0,1,1,0
NM,New Mexico,0,1,0,6,18,7,0,0,0,1,0,1,1,0,0,0,0,0,1,3,2,2,1,1,0,0,1,1,0,1,0,0,N/A,1,4,3,4,1,2,0,0,0,0,25,1,0,0,0,0,0,1
NV,Nevada,0,0,0,17,97,11,2,0,1,8,0,0,3,1,5,0,1,0,0,0,1,0,3,1,2,0,2,0,0,1,0,2,5,N/A,3,3,1,8,3,0,1,0,0,13,11,0,1,4,0,0,2
NY,New York,0,1,0,4,58,8,74,8,4,43,8,1,2,0,12,3,1,1,6,24,6,3,9,3,2,1,0,5,0,0,4,172,1,1,N/A,11,0,3,42,6,5,0,6,27,0,11,3,3,0,2,1
OH,Ohio,0,1,0,5,17,9,3,0,2,30,2,0,3,0,14,18,3,25,0,3,5,0,27,1,5,1,0,2,0,1,1,5,0,1,18,N/A,0,1,23,1,5,1,4,10,1,10,1,2,1,17,0
OK,Oklahoma,0,0,8,0,17,5,1,0,0,6,2,0,0,0,0,0,7,0,2,1,1,0,1,3,5,0,1,2,0,1,0,0,2,0,1,1,N/A,1,3,0,0,1,2,34,1,0,0,0,0,3,2
OR,Oregon,3,2,1,3,110,6,1,0,0,5,1,2,1,4,4,0,0,2,0,0,2,0,0,1,2,0,4,1,1,2,1,0,1,1,2,0,1,N/A,0,0,1,0,1,8,3,2,0,41,1,0,0
PA,Pennsylvania,0,0,0,2,23,2,14,4,24,21,0,0,0,1,11,4,1,4,2,8,29,0,6,2,4,1,1,3,0,0,2,152,1,0,62,20,1,0,N/A,1,1,0,5,11,1,12,0,3,2,8,1
RI,Rhode Island,0,0,0,0,1,1,9,0,0,3,0,0,0,0,1,1,0,0,0,35,3,0,0,2,0,0,0,0,0,0,0,0,0,1,12,2,0,0,1,N/A,1,0,0,0,0,1,0,1,0,0,1
SC,South Carolina,0,2,0,3,5,2,2,1,0,13,17,2,0,0,4,3,0,0,2,4,3,0,3,0,1,1,0,47,0,1,1,5,0,0,11,6,1,0,3,0,N/A,0,5,3,1,4,0,1,1,1,0
SD,South Dakota,0,0,1,1,2,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,4,3,0,0,0,0,1,0,1,0,0,0,0,N/A,2,0,0,1,0,2,1,0,2
TN,Tennessee,0,10,7,2,14,1,3,1,1,21,24,0,0,1,8,7,2,15,7,1,3,0,10,3,3,14,1,6,0,0,0,4,0,1,7,5,6,0,2,0,5,0,N/A,23,0,11,0,1,1,1,1
TX,Texas,1,6,16,26,94,25,6,0,3,37,18,2,8,0,26,6,16,3,25,9,7,0,15,5,10,8,3,6,2,5,0,17,28,0,24,6,57,0,5,0,3,1,16,N/A,4,12,0,6,0,1,3
UT,Utah,0,0,0,7,25,7,1,0,0,3,1,3,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,4,1,0,0,0,1,0,0,0,0,5,N/A,0,0,1,0,0,1
VA,Virginia,0,0,2,3,17,2,10,146,4,18,4,1,0,0,6,3,0,1,6,6,91,0,3,0,1,1,0,18,0,0,1,18,1,0,27,7,0,2,12,0,1,0,8,17,4,N/A,1,1,0,4,0
VT,Vermont,0,0,0,0,3,1,5,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,5,0,0,2,0,0,0,0,0,0,1,0,1,0,1,N/A,1,0,0,0
WA,Washington,22,0,0,11,117,7,0,1,0,5,1,4,3,16,7,1,2,0,0,0,1,0,4,2,2,1,12,0,0,1,0,3,1,4,11,0,2,71,1,0,0,1,0,16,7,4,1,N/A,2,0,0
WI,Wisconsin,3,0,0,2,8,2,4,0,0,7,1,0,4,0,59,0,1,0,1,1,1,0,7,22,2,1,1,1,0,3,0,0,1,0,4,3,1,1,1,0,0,0,0,6,0,4,0,1,N/A,0,0
WV,West Virginia,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,3,0,0,11,0,0,0,0,0,0,3,0,0,0,2,0,0,0,8,0,0,6,0,0,0,1,1,1,6,0,0,0,N/A,1
WY,Wyoming,0,0,0,1,4,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,1,0,N/A
