abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
AK,Alaska,N/A,19,11,86,88,63,0,2,0,60,20,30,13,58,15,8,13,11,13,8,16,9,20,18,21,6,25,26,7,6,4,3,18,35,18,13,21,93,24,0,17,5,17,100,25,69,1,230,19,4,10,764,1398
AL,Alabama,13,N/A,44,50,102,56,13,6,10,754,761,15,22,8,65,55,18,75,134,18,43,4,60,15,51,251,8,157,1,12,4,21,4,26,43,77,30,25,55,2,97,5,391,295,22,111,3,38,28,4,3,4983,4105
AR,Arkansas,3,60,N/A,59,106,76,7,5,2,192,69,5,25,11,47,38,48,35,150,7,15,6,25,17,289,82,9,54,6,12,3,8,17,18,19,37,241,10,20,2,26,4,213,577,14,43,2,29,22,2,7,3201,2774
AZ,Arizona,29,56,48,N/A,1614,508,38,23,13,431,128,58,89,126,240,92,73,51,48,70,74,16,155,139,139,22,91,165,34,53,19,78,204,376,166,134,101,245,139,2,100,36,134,752,247,142,11,307,105,13,45,12426,7979
CA,California,70,174,170,2753,N/A,1440,225,181,112,1944,748,471,126,938,791,280,228,177,191,568,358,76,469,337,394,69,265,824,38,106,109,569,353,2917,1351,494,285,1892,464,75,274,61,621,3551,790,722,43,1990,247,30,129,23057,31490
CO,Colorado,36,98,87,849,1182,N/A,48,48,15,877,234,76,105,149,265,105,226,68,86,113,87,40,136,174,248,32,156,252,75,214,36,74,284,253,213,176,190,238,161,14,133,102,176,1282,254,248,23,320,139,12,214,10546,10623
CT,Connecticut,3,15,11,94,330,86,N/A,27,23,1164,169,11,13,7,81,28,13,18,13,582,101,103,46,25,39,9,11,284,3,5,96,234,16,31,1006,69,13,32,153,170,294,0,70,203,25,189,68,46,22,5,8,4228,6064
DC,DC,5,10,7,21,196,45,28,N/A,29,156,50,8,4,1,55,11,5,7,15,75,1753,11,21,14,14,5,8,86,0,8,6,43,14,17,200,41,8,18,83,8,21,0,15,76,7,1367,6,33,13,8,2,3785,4634
DE,Delaware,2,17,3,29,133,24,17,24,N/A,211,43,3,4,3,32,9,10,5,11,41,292,6,27,8,18,3,2,69,3,5,7,136,6,17,134,29,5,10,491,5,34,0,21,76,4,99,5,14,8,12,7,2274,2174
FL,Florida,27,860,141,439,1594,756,363,123,94,N/A,2956,70,141,65,749,466,142,393,334,632,591,145,751,262,376,215,66,2289,37,56,172,836,120,324,1741,930,166,181,921,129,933,34,1396,1983,141,1098,63,373,294,112,49,38313,27129
GA,Georgia,19,911,82,159,660,238,68,70,30,2904,N/A,37,41,40,291,153,90,157,165,113,227,18,179,71,131,150,34,855,15,28,25,200,37,84,352,315,89,52,211,21,1006,12,864,915,54,458,4,153,77,35,14,13170,12914
