abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
AK,Alaska,N/A,1,1,8,7,6,0,0,0,4,0,2,0,4,1,1,3,1,1,1,0,1,0,0,3,1,1,5,1,1,0,0,4,3,3,2,0,5,3,0,6,0,1,10,0,2,0,20,2,0,0,46,115
AL,Alabama,0,N/A,4,7,6,7,1,0,1,54,61,1,3,0,7,7,2,11,14,2,1,0,8,2,3,24,1,11,0,2,0,3,0,2,3,10,3,4,11,1,9,0,32,25,3,12,0,1,0,1,0,431,360
AR,Arkansas,0,4,N/A,3,7,5,0,0,0,19,3,0,0,0,3,4,4,4,9,2,0,0,2,0,25,7,0,4,0,1,0,2,1,0,1,5,18,0,2,0,1,0,11,41,4,5,0,1,0,0,1,289,199
AZ,Arizona,1,6,5,N/A,104,48,4,3,2,45,9,2,9,16,17,5,3,5,4,9,6,1,12,17,10,5,4,19,2,12,2,12,11,20,7,12,8,23,9,0,9,5,12,60,25,10,0,35,7,0,11,1210,663
CA,California,6,19,18,338,N/A,145,19,18,13,193,83,51,16,126,89,25,27,16,21,66,40,10,49,31,43,6,23,112,2,10,12,55,32,311,164,69,25,198,56,16,35,5,79,436,90,67,2,248,30,3,16,2053,3564
CO,Colorado,3,10,9,81,88,N/A,2,5,0,84,29,7,10,14,26,12,26,4,8,10,6,3,9,13,19,5,17,31,7,20,4,9,29,21,24,20,19,23,12,1,15,11,21,134,26,23,3,33,15,0,19,968,1020
CT,Connecticut,0,1,0,8,31,9,N/A,2,0,101,19,1,1,1,6,3,3,2,0,59,10,13,5,2,3,1,0,24,1,0,6,26,0,3,89,8,2,2,13,14,30,0,6,23,4,15,4,4,4,1,1,373,561
DC,DC,0,1,0,1,20,3,1,N/A,1,15,4,1,1,0,6,1,1,0,0,7,174,1,2,0,5,2,1,11,0,0,1,3,0,0,29,5,2,4,8,0,2,0,1,11,1,121,0,1,2,0,0,361,450
DE,Delaware,0,2,1,4,15,1,3,2,N/A,15,6,0,1,1,8,0,2,0,1,8,30,0,2,0,1,0,0,11,2,0,0,14,0,2,19,0,1,1,49,0,2,0,3,7,1,10,0,2,1,2,1,223,231
FL,Florida,1,69,11,49,149,58,34,11,9,N/A,305,4,14,10,66,41,5,28,16,57,58,21,53,20,31,26,6,250,4,6,11,82,7,32,128,79,18,13,81,16,87,5,118,207,20,102,5,35,25,8,9,3320,2500
