abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
AK,Alaska,N/A,1,0,2,17,7,1,0,0,4,0,1,2,5,2,1,2,1,1,3,0,0,0,0,0,1,0,0,1,0,0,4,0,3,2,3,2,13,1,0,0,0,0,3,5,1,1,43,1,0,4,138,193
AL,Alabama,0,N/A,9,8,39,6,3,3,2,130,161,0,2,0,20,8,3,16,27,7,10,2,22,4,15,64,0,20,0,5,5,11,1,1,22,14,7,3,24,1,9,0,101,59,2,13,1,1,6,1,1,869,715
AR,Arkansas,1,14,N/A,7,71,9,2,3,0,25,11,0,4,1,25,9,23,7,47,7,6,0,5,7,63,19,1,7,1,6,4,3,2,3,3,9,68,4,10,0,8,1,57,159,0,4,0,6,1,0,1,724,576
AZ,Arizona,9,7,9,N/A,928,147,26,1,4,55,29,23,28,15,183,25,23,7,6,51,27,3,71,62,35,3,18,13,11,30,7,76,82,77,110,53,28,37,47,6,6,11,9,137,59,16,2,84,46,1,25,2768,1421
CA,California,19,22,20,399,N/A,295,104,60,14,225,93,122,24,35,303,37,41,23,32,182,83,9,124,80,79,5,32,45,3,27,27,245,67,361,620,105,58,227,142,12,25,13,55,498,106,113,10,288,49,10,13,5581,9767
CO,Colorado,5,9,6,104,558,N/A,25,16,2,96,22,22,37,13,137,27,58,6,10,41,18,4,23,44,37,7,16,11,11,48,7,57,69,31,79,33,37,25,48,3,9,11,14,252,57,29,7,41,54,1,60,2337,1731
CT,Connecticut,0,4,0,5,107,18,N/A,10,12,61,19,2,0,4,50,3,2,10,2,205,20,13,18,9,7,1,0,18,1,1,18,159,1,0,1220,22,3,2,53,58,7,0,12,49,1,19,18,5,8,3,0,2260,2446
DC,DC,0,0,2,3,50,8,10,N/A,2,15,15,0,4,1,18,4,2,4,3,21,551,1,7,3,8,2,0,7,0,0,2,19,1,3,99,16,2,2,18,0,2,0,1,21,1,453,1,5,0,1,0,1388,2887
DE,Delaware,0,0,1,3,21,5,18,5,N/A,21,6,0,0,1,7,2,2,1,1,5,127,1,5,4,3,2,1,9,0,1,2,90,0,1,67,18,1,1,236,2,3,0,8,32,0,20,0,1,1,1,0,736,672
FL,Florida,7,144,28,44,514,86,289,43,34,N/A,410,9,39,4,372,148,27,79,74,278,220,45,293,83,79,34,9,186,1,18,52,590,11,27,1342,316,28,22,347,48,83,5,110,315,23,266,19,44,92,30,5,7372,3837
GA,Georgia,1,145,20,20,218,33,83,17,16,489,N/A,4,7,0,113,36,16,25,38,49,57,11,69,23,27,24,2,127,1,4,7,132,8,14,207,85,16,5,83,8,168,0,255,181,6,100,4,18,16,6,2,2996,2076
