abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
AK,Alaska,N/A,0,0,0,7,1,0,0,0,1,0,2,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,22,3,0,0
AL,Alabama,0,N/A,1,0,4,1,1,0,0,19,15,0,0,0,0,1,0,2,3,0,2,0,0,1,0,7,0,4,0,0,0,1,1,0,1,1,0,2,0,0,2,0,10,6,0,0,0,0,0,0,0
AR,Arkansas,0,0,N/A,0,3,0,0,0,0,5,1,0,0,0,3,2,1,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,7,16,0,2,0,0,0,0,0
AZ,Arizona,0,2,0,N/A,63,11,0,0,0,8,1,2,1,2,7,6,3,1,0,0,0,0,4,4,3,0,4,4,0,6,0,5,6,17,4,5,0,3,2,0,3,1,2,26,7,3,0,11,2,0,1
CA,California,2,7,10,107,N/A,53,10,4,3,78,22,22,0,18,36,7,10,4,5,24,7,2,15,11,13,2,9,15,2,6,3,15,18,97,58,17,17,110,23,1,5,2,14,94,25,17,3,117,8,1,4
CO,Colorado,2,2,3,23,65,N/A,4,2,0,25,11,1,3,3,7,5,9,3,1,2,1,0,6,7,5,0,3,4,0,7,0,3,7,11,8,9,5,6,2,1,2,2,1,25,7,2,1,7,2,0,6
CT,Connecticut,0,1,0,3,11,2,N/A,3,0,49,11,0,1,2,9,1,0,2,0,39,4,6,1,0,1,0,0,9,0,0,6,24,0,2,74,3,1,1,14,9,2,0,3,6,1,10,5,0,4,0,0
DC,DC,0,1,2,0,3,1,2,N/A,0,5,0,0,1,0,1,0,0,0,0,4,177,0,1,1,1,0,1,0,0,0,0,2,0,0,8,0,0,0,4,0,1,0,1,0,0,146,0,1,0,0,0
DE,Delaware,0,0,0,2,1,0,1,0,N/A,5,0,0,0,0,2,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,11,0,1,4,2,0,0,24,0,0,0,1,3,0,4,0,0,0,0,0
FL,Florida,0,18,4,6,24,9,9,3,2,N/A,62,1,2,1,20,14,0,10,7,13,13,1,25,9,6,6,0,32,0,0,4,19,1,8,43,30,6,5,21,3,13,0,21,37,3,18,0,5,7,2,0
GA,Georgia,0,20,2,1,12,4,2,1,1,56,N/A,2,0,0,7,0,1,4,3,3,2,0,5,2,4,2,0,10,0,0,0,4,0,0,8,2,2,1,0,0,17,0,24,18,1,4,0,1,1,0,0
HI,Hawaii,0,0,0,6,27,3,0,0,0,1,1,N/A,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,2,0,0,2,3,1,0,4,0,0,0
IA,Iowa,1,0,1,7,7,6,0,0,0,11,1,0,N/A,2,18,1,3,1,0,1,1,0,3,11,12,0,1,0,0,15,0,3,1,3,2,3,0,1,0,0,0,4,0,8,1,0,0,3,4,0,1
ID,Idaho,1,0,0,3,7,1,1,0,0,0,0,0,0,N/A,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,2,0,0,16,0,0,1
IL,Illinois,0,3,3,15,57,12,6,6,1,72,15,1,27,1,N/A,76,5,7,3,2,3,0,31,9,37,1,0,6,0,2,1,11,0,5,12,14,0,4,11,1,4,0,8,26,0,6,2,7,59,1,0
IN,Indiana,0,1,2,4,4,2,0,0,1,36,3,0,2,1,29,N/A,0,20,0,1,2,1,17,3,2,1,2,6,0,2,2,4,0,0,3,18,0,0,4,1,3,0,7,6,0,3,0,1,0,2,0
KS,Kansas,1,0,2,6,14,8,1,0,0,9,1,0,3,0,6,3,N/A,0,1,0,0,0,1,1,85,1,0,1,1,9,0,1,0,1,1,3,7,0,1,0,0,1,2,16,1,0,0,2,1,0,0
