abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
AK,Alaska,N/A,1,0,5,6,5,1,0,0,0,0,1,0,3,1,0,1,3,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,1,1,1,0,10,1,0,0,52,100
AL,Alabama,0,N/A,4,5,26,17,1,1,1,89,77,1,3,7,17,9,3,9,25,4,4,0,4,0,8,24,1,12,1,1,2,5,3,2,7,9,1,2,2,3,4,1,37,29,0,15,1,2,1,1,2,483,349
AR,Arkansas,0,1,N/A,4,20,15,2,1,1,16,4,0,6,2,6,3,6,4,17,1,1,0,1,3,33,10,1,4,0,2,0,0,3,3,8,2,19,1,6,0,3,1,15,60,2,4,0,0,4,0,0,295,262
AZ,Arizona,10,9,7,N/A,376,91,9,5,5,31,12,9,12,18,68,16,15,5,9,14,16,5,16,34,17,5,14,10,9,11,7,8,42,36,31,23,9,47,14,1,14,11,18,58,30,15,0,62,15,2,7,1308,661
CA,California,3,7,9,109,N/A,103,27,24,19,134,65,27,12,14,93,18,9,14,28,58,43,2,30,34,24,10,10,52,4,5,7,61,23,103,196,32,19,90,75,10,12,2,35,182,45,67,2,99,20,6,10,2083,4018
CO,Colorado,3,5,13,37,166,N/A,9,5,5,73,24,9,18,8,51,8,31,4,8,11,15,2,18,14,24,5,8,20,4,11,3,16,22,16,34,9,21,15,18,1,2,7,3,98,18,25,4,13,7,0,13,954,1163
CT,Connecticut,0,0,0,2,22,3,N/A,1,2,29,4,1,3,1,6,0,1,0,2,53,6,1,4,2,2,0,0,10,0,3,5,18,0,0,161,4,0,2,12,11,4,0,3,14,3,7,4,2,3,1,0,412,563
DC,DC,0,1,0,2,20,7,1,N/A,1,13,5,0,0,0,4,0,0,2,2,9,135,3,2,1,2,0,0,6,0,1,1,6,0,1,23,4,1,1,9,1,1,0,1,8,0,119,0,3,1,0,0,397,463
DE,Delaware,0,2,0,1,27,2,4,4,N/A,14,5,0,0,1,4,1,2,1,0,3,51,0,34,0,0,0,0,2,1,0,1,26,0,2,34,1,0,0,45,0,2,0,2,8,0,22,0,4,1,1,0,308,246
FL,Florida,3,67,16,44,282,108,114,24,26,N/A,278,12,21,5,208,94,17,56,53,133,136,17,79,60,76,24,9,147,7,12,38,225,18,35,455,133,37,22,159,20,63,5,114,212,17,192,10,36,39,19,7,3984,2552
